;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y capítulos del presupuesto de gastos;
;PRESUPUESTO 2025-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;;;Total;
36.20; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;;;;;;150.000,00;;;;;150.000,00;
37;OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;;;;1.810.566,58;;;480.569,69;;;;;2.291.136,27;
37.01; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. COMUNIDADES AUTÓNOMAS;;;;101.726,02;;;282.017,39;;;;;383.743,41;
37.02; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;;;1.708.840,56;;;198.552,30;;;;;1.907.392,86;
38;SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;;;;45.087.970,53;;;;;;;;45.087.970,53;
38.01; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PAÍS VASCO;;;;141.500,00;;;;;;;;141.500,00;
38.02; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA;;;;1.451.346,37;;;;;;;;1.451.346,37;
38.03; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;;;725.491,70;;;;;;;;725.491,70;
38.04; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;;;609.610,05;;;;;;;;609.610,05;
38.05; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS;;;;226.489,97;;;;;;;;226.489,97;
38.06; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANTABRIA;;;;596.593,64;;;;;;;;596.593,64;
38.07; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. LA RIOJA;;;;258.348,59;;;;;;;;258.348,59;
38.10; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ARAGÓN;;;;336.673,08;;;;;;;;336.673,08;
38.11; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA;;;;96.109,99;;;;;;;;96.109,99;
38.12; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;;;91.317,49;;;;;;;;91.317,49;
38.13; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. NAVARRA;;;;2.500,00;;;;;;;;2.500,00;
38.14; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;;;541.685,94;;;;;;;;541.685,94;
38.17; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;;;526.831,04;;;;;;;;526.831,04;
38.18; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;;;34.462,29;;;;;;;;34.462,29;
38.19; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;;;43.038,93;;;;;;;;43.038,93;
38.20; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;;;18.393.076,30;;;;;;;;18.393.076,30;
38.21; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;;;21.012.895,15;;;;;;;;21.012.895,15;
;TOTAL;20.470.550,61;4.909.236,29;31.329.770,86;142.240.794,03;3.964.420,00;11.062.245,45;29.188.005,79;40.135.454,61;97.521.932,88;;;380.822.410,52;
;;



