;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y capítulos del presupuesto de gastos;
;PRESUPUESTO 2025-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;;;Total;
23.06; DIRECCIÓN GENERAL DE LA COSTA Y DEL MAR;25.070,66;;;1.869,28;;68.765,51;950,00;;;;;96.655,45;
23.08; DIRECCIÓN GENERAL DE CALIDAD Y EVALUACIÓN AMBIENTAL;6.934,67;;;;;7.040,08;13.415,69;;;;;27.390,44;
23.09; DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS;4.902,38;;;4.580,01;;11.536,05;9.121,51;;;;;30.139,95;
23.10; OFICINA ESPAÑOLA DEL CAMBIO CLIMÁTICO;2.781,63;;;222,28;;1.500,00;10.800,00;12.000,00;;;;27.303,91;
23.11; DIRECCIÓN GENERAL DE BIODIVERSIDAD, BOSQUES Y DESERTIFICACIÓN;6.552,93;;;15.197,42;;142.667,20;26.102,54;22.000,00;;;;212.520,09;
23.12; DIRECCIÓN GENERAL DE SERVICIOS;10.493,29;24.581,51;15,17;4.725,53;;12.300,00;14.670,69;168,36;;;;66.954,55;
23.13; SECRETARÍA GENERAL PARA EL RETO DEMOGRÁFICO;486,60;;;;;;;;;;;486,60;
23.14; DIRECCIÓN GENERAL DE POLÍTICAS CONTRA LA DESPOBLACIÓN;952,35;;;30.102,84;;500,00;39.797,16;;;;;71.352,35;
23.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;77.500,00;;278.114,88;4.591.905,42;50.000,00;;;;4.997.520,30;
24;MINISTERIO DE CULTURA;88.734,88;52.700,40;40,50;646.306,41;;37.240,02;207.269,71;11.133,94;;;;1.043.425,86;
24.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;25.467,09;5.859,38;3,50;531.783,58;;3.547,00;115.937,83;133,94;;;;682.732,32;
24.02; SECRETARÍA GENERAL TÉCNICA;3.550,78;592,90;;;;44,00;;;;;;4.187,68;
24.03; DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA;4.428,70;3.614,16;;8.364,05;;2.331,15;3.355,88;;;;;22.093,94;
24.04; DIRECCIÓN GENERAL DE DERECHOS CULTURALES;3.162,39;2.361,39;;22.290,42;;478,00;58.336,00;11.000,00;;;;97.628,20;
24.05; DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;51.168,17;35.615,17;37,00;28.051,77;;30.812,55;22.089,00;;;;;167.773,66;
24.06; SECRETARÍA DE ESTADO DE CULTURA;957,75;4.657,40;;1.077,49;;27,32;;;;;;6.719,96;
24.07; DIRECCIÓN GENERAL DE ARTES ESCÉNICAS Y MÚSICA;;;;54.739,10;;;7.551,00;;;;;62.290,10;
25;MINISTERIO DE VIVIENDA Y AGENDA URBANA;11.461,47;1.872,55;1.630,00;3.405,00;;25.183,84;2.080.815,57;1.360.000,00;165,00;;;3.484.533,43;
25.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;6.667,78;285,00;;;;;;;;;;6.952,78;
25.09; DIRECCIÓN GENERAL DE VIVIENDA Y SUELO;2.524,18;361,30;1.630,00;3.000,00;;683,84;696.423,12;260.000,00;165,00;;;964.787,44;
25.10; DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA;2.269,51;1.226,25;;405,00;;24.500,00;4.392,45;;;;;32.793,21;
25.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;;;;1.380.000,00;1.100.000,00;;;;2.480.000,00;
26;MINISTERIO DE SANIDAD;59.170,03;64.426,05;;529.269,31;;27.679,73;591.373,61;40,50;;;;1.271.959,23;
26.01; MINISTERIO Y SUBSECRETARÍA;26.213,80;4.706,63;;;;2.027,74;;40,50;;;;32.988,67;
26.02; SECRETARÍA GENERAL TÉCNICA;3.300,27;789,33;;2.353,06;;6,80;24,92;;;;;6.474,38;
26.03; SECRETARÍA GENERAL DE SALUD DIGITAL, INFORMACIÓN E INNOVACIÓN DEL SISTEMA NACIONAL DE SALUD;3.625,02;3.645,00;;2.006,95;;;;;;;;9.276,97;
26.04; SECRETARÍA DE ESTADO DE SANIDAD;990,62;266,27;;9.154,12;;3,00;267,55;;;;;10.681,56;
26.05; DIRECCIÓN GENERAL DE SALUD DIGITAL Y SISTEMAS DE INFORMACIÓN PARA EL SISTEMA NACIONAL DE SALUD;5.366,01;13.461,86;;;;861,04;;;;;;19.688,91;
26.06; COMISIONADO DE SALUD MENTAL;575,88;2.500,00;;16.000,00;;;22.500,00;;;;;41.575,88;
26.07; DIRECCIÓN GENERAL DE SALUD PÚBLICA Y EQUIDAD EN SALUD;8.648,49;28.402,61;;92.758,84;;469,15;545.874,00;;;;;676.153,09;
26.09; DIRECCIÓN GENERAL DE CARTERA COMÚN DE SERVICIOS DEL SISTEMA NACIONAL DE SALUD Y FARMACIA;4.237,60;6.355,70;;396.465,45;;24.306,00;22.097,35;;;;;453.462,10;
26.12; DIRECCIÓN GENERAL DE ORDENACIÓN PROFESIONAL;3.371,76;3.168,07;;;;6,00;;;;;;6.545,83;
26.18; DELEGACIÓN DEL GOBIERNO PARA EL PLAN NACIONAL SOBRE DROGAS;2.840,58;1.130,58;;10.530,89;;;609,79;;;;;15.111,84;
27;MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;158.728,84;75.419,34;27.825,02;606.024,27;;17.659,17;286.143,30;1.336.903,59;1,00;;;2.508.704,53;
27.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;29.203,65;14.137,91;15,00;;;5.455,51;;206,25;;;;49.018,32;
27.02; SECRETARÍA GENERAL TÉCNICA;2.220,35;177,41;;;;;;;;;;2.397,76;
27.03; SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;4.691,20;99,33;12.632,65;196.006,19;;2,10;28.338,90;1,00;;;;241.771,37;
27.04; SECRETARÍA GENERAL DEL TESORO Y FINANCIACIÓN INTERNACIONAL;9.759,22;35.623,07;15.060,44;383.186,76;;846,36;;136.549,84;1,00;;;581.026,69;
27.05; DIRECCIÓN GENERAL DE POLÍTICA ECONÓMICA;3.928,75;563,18;;3,50;;204,49;;;;;;4.699,92;
27.06; DIRECCIÓN GENERAL DE ANÁLISIS ECONÓMICO;1.987,78;256,92;;21,00;;;;;;;;2.265,70;
27.07; DIRECCIÓN GENERAL DE SEGUROS Y FONDOS DE PENSIONES;11.044,95;2.626,07;;1.999,93;;3.267,47;;;;;;18.938,42;
27.10; SECRETARÍA DE ESTADO DE COMERCIO;6.017,20;547,96;;19.380,51;;72,50;66.816,29;;;;;92.834,46;
27.14; DIRECCIÓN GENERAL DE INTELIGENCIA ECONÓMICA Y COMERCIAL;22.640,10;18.206,87;116,93;535,00;;1.528,91;;230.146,50;;;;273.174,31;
27.15; DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL Y SEGURIDAD ECONÓMICA;67.235,64;1.446,23;;2.636,38;;425,00;2.727,50;;;;;74.470,75;
27.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;1.734,39;;2.255,00;;5.856,83;188.260,61;970.000,00;;;;1.168.106,83;
28;MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;58.731,69;28.211,23;36,00;1.067.325,09;;6.384,48;3.257.667,85;3.029.918,53;;;;7.448.274,87;
28.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;41.334,30;8.328,91;;19.120,79;;4.850,59;5.016,85;20,00;;;;78.671,44;
28.02; SECRETARÍA GENERAL TÉCNICA;2.327,22;766,27;;;;;;;;;;3.093,49;
28.06; SECRETARÍA GENERAL DE INVESTIGACIÓN;2.319,74;10.389,09;1,00;671.177,73;;300,00;1.042.837,46;;;;;1.727.025,02;
28.07; DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;2.616,93;527,47;;196.425,09;;543,14;53.730,75;1.861.628,53;;;;2.115.471,91;
28.08; SECRETARÍA GENERAL DE INNOVACIÓN;2.442,46;2.538,68;5,00;32.422,64;;545,75;511.231,05;938.270,00;;;;1.487.455,58;
28.09; SECRETARÍA GENERAL DE UNIVERSIDADES;7.691,04;5.660,81;30,00;148.178,84;;145,00;135.085,63;;;;;296.791,32;
