ejercicio,seccion_cod,servicio_cod,servicio_denominacion,dir3_cod,dir3_denominacion,match_tipo,match_detalle
2026,26,09,DIRECCIÓN GENERAL DE CARTERA COMÚN DE SERVICIOS DEL SISTEMA NACIONAL DE SALUD Y FARMACIA,E04939305,Dirección General de Cartera Común de Servicios del Sistema Nacional de Salud y Farmacia,exacto,denominacion_normalizada
2026,26,12,DIRECCIÓN GENERAL DE ORDENACIÓN PROFESIONAL,E04939505,Dirección General de Ordenación Profesional,exacto,denominacion_normalizada
2026,26,18,DELEGACIÓN DEL GOBIERNO PARA EL PLAN NACIONAL SOBRE DROGAS,E04601908,Delegación del Gobierno para el Plan Nacional sobre Drogas,exacto,denominacion_normalizada
2026,27,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05074501,"Subsecretaría de Economía, Comercio y Empresa",por_denominacion,regla_servicios_generales
2026,27,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05234801,"Ministerio de Economía, Comercio y Empresa",por_denominacion,regla_servicios_generales
2026,27,02,SECRETARÍA GENERAL TÉCNICA,E04931804,Secretaría General Técnica,exacto,denominacion_normalizada
2026,27,03,SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA,E05235101,Secretaría de Estado de Economía y Apoyo a la Empresa,exacto,denominacion_normalizada
2026,27,04,SECRETARÍA GENERAL DEL TESORO Y FINANCIACIÓN INTERNACIONAL,E05042502,Secretaría General del Tesoro y Financiación Internacional,exacto,denominacion_normalizada
2026,27,05,DIRECCIÓN GENERAL DE POLÍTICA ECONÓMICA,E00118708,Dirección General de Política Económica,exacto,denominacion_normalizada
2026,27,06,DIRECCIÓN GENERAL DE ANÁLISIS ECONÓMICO,E05042902,Dirección General de Análisis Económico,exacto,denominacion_normalizada
2026,27,07,DIRECCIÓN GENERAL DE SEGUROS Y FONDOS DE PENSIONES,E00119006,Dirección General de Seguros y Fondos de Pensiones,exacto,denominacion_normalizada
2026,27,10,SECRETARÍA DE ESTADO DE COMERCIO,E05235401,Secretaría de Estado de Comercio,exacto,denominacion_normalizada
2026,27,14,DIRECCIÓN GENERAL DE INTELIGENCIA ECONÓMICA Y COMERCIAL,E00119809,Dirección General de Inteligencia Económica y Comercial,exacto,denominacion_normalizada
2026,27,15,DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL Y SEGURIDAD ECONÓMICA,E00120009,Dirección General de Política Comercial y Seguridad Económica,exacto,denominacion_normalizada
2026,27,50,MECANISMO DE RECUPERACIÓN Y RESILIENCIA,,,sin_match,servicio_instrumental_prtr
2026,28,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05236301,"Ministerio de Ciencia, Innovación y Universidades",por_denominacion,regla_servicios_generales
2026,28,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05240201,"Subsecretaría de Ciencia, Innovación y Universidades",por_denominacion,regla_servicios_generales
2026,28,02,SECRETARÍA GENERAL TÉCNICA,E05043502,Secretaría General Técnica,exacto,denominacion_normalizada
2026,28,06,SECRETARÍA GENERAL DE INVESTIGACIÓN,E05082801,Secretaría General de Investigación,exacto,denominacion_normalizada
2026,28,07,DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN,,,sin_match,sin_candidato_en_subarbol
2026,28,08,SECRETARÍA GENERAL DE INNOVACIÓN,E05083201,Secretaría General de Innovación,exacto,denominacion_normalizada
2026,28,09,SECRETARÍA GENERAL DE UNIVERSIDADES,E05081201,Secretaría General de Universidades,exacto,denominacion_normalizada
2026,28,50,MECANISMO DE RECUPERACIÓN Y RESILIENCIA,,,sin_match,servicio_instrumental_prtr
2026,29,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05235701,"Ministerio de Derechos Sociales, Consumo y Agenda 2030",por_denominacion,regla_servicios_generales
2026,29,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05240001,"Subsecretaría de Derechos Sociales, Consumo y Agenda 2030",por_denominacion,regla_servicios_generales
2026,29,02,SECRETARÍA GENERAL TÉCNICA,E04938703,Secretaría General Técnica,exacto,denominacion_normalizada
2026,29,03,SECRETARÍA DE ESTADO DE DERECHOS SOCIALES,E05251101,Secretaria de Estado de Derechos Sociales,exacto,denominacion_normalizada
2026,29,04,DIRECCIÓN GENERAL DE DERECHOS DE LOS ANIMALES,E05080001,Dirección General de Derechos de los Animales,exacto,denominacion_normalizada
2026,29,05,DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES,E05079601,Dirección General de Diversidad Familiar y Servicios Sociales,exacto,denominacion_normalizada
2026,29,06,DIRECCIÓN GENERAL DE DERECHOS DE LAS PERSONAS CON DISCAPACIDAD,E05051302,Dirección General de Derechos de las Personas con Discapacidad,exacto,denominacion_normalizada
2026,29,07,DIRECCIÓN GENERAL DE AGENDA 2030,E05079801,Dirección General de Agenda 2030,exacto,denominacion_normalizada
2026,29,08,SECRETARÍA GENERAL DE CONSUMO Y JUEGO,E05081601,Secretaría General de Consumo y Juego,exacto,denominacion_normalizada
2026,29,09,DIRECCIÓN GENERAL DE CONSUMO,E05051502,Dirección General de Consumo,exacto,denominacion_normalizada
2026,29,10,DIRECCIÓN GENERAL DE ORDENACIÓN DEL JUEGO,E04912605,Dirección General de Ordenación del Juego,exacto,denominacion_normalizada
2026,30,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05071601,Ministerio de Igualdad,por_denominacion,regla_servicios_generales
2026,30,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05075301,Subsecretaría de Igualdad,por_denominacion,regla_servicios_generales
2026,30,02,SECRETARÍA DE ESTADO DE IGUALDAD Y PARA LA ERRADICACIÓN DE LA VIOLENCIA CONTRA LAS MUJERES,E05251401,Secretaria de Estado de Igualdad y para la Erradicación de la Violencia contra las Mujeres,exacto,denominacion_normalizada
2026,30,03,DELEGACIÓN DEL GOBIERNO CONTRA LA VIOLENCIA DE GÉNERO,E04797505,Delegación del Gobierno contra la Violencia de Género,exacto,denominacion_normalizada
2026,31,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05237801,Ministerio de Juventud e Infancia,por_denominacion,regla_servicios_generales
2026,31,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05240601,Subsecretaría de Juventud e Infancia,por_denominacion,regla_servicios_generales
2026,31,02,SECRETARÍA GENERAL TÉCNICA,EA0054108,Secretaría General Técnica,exacto,denominacion_normalizada
